Progr;Date;Industrial Group;Industrial Group Descr;GKAM;Des GKAM;KAM;Des KAM;Sub Holding;Sub Holding Descr;P/N;Internal Company Code;Order Type Descr;Weight new booking;Q.TY;Currency;Exchange;Cost Currency Perc;Cost Euro Perc;Price Currency Perc;Price Euro Perc;Tot Cost Currency;Tot Cost Currency Weighted;Total Cost Euro;Total Cost Euro Weighted;Tot Turnover Currency;Tot Turnovr Curr Weighted;Tot Turnover Euro;Tot Turnover Euro Weighted;Weight per part (kg);Product Type;SOP Q_/YEAR Date;SOP+1 Euro;SOP+2 Euro;SOP+3 Euro;Macro Cod;Macro Application
2914;01/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;FC96780;021060FC;EXTENSION;0,50;600000,000;EUR;1,000000;5,550000;5,550000;5,820000;5,820000;33300,000000;16650,000000;33300,000000;16650,000000;34938,000000;17469,000000;34938,000000;17469,000000;0,010400;BOLTS;20230101;;;;A07;Body
2915;01/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;FC50504;6HJ050FC;EXTENSION;0,50;800000,000;EUR;1,000000;1,910000;1,910000;3,370000;3,370000;15280,000000;7640,000000;15280,000000;7640,000000;26960,000000;13480,000000;26960,000000;13480,000000;0,005000;SPECIAL SCREW;20230101;;;;A08;Interiors
2916;01/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;FC67050;131060FC;EXTENSION;0,50;1600000,000;EUR;1,000000;7,490000;7,490000;8,980000;8,980000;119840,000000;59920,000000;119840,000000;59920,000000;143680,000000;71840,000000;143680,000000;71840,000000;0,013400;BOLTS;20230101;;;;A07;Body
2917;01/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;GER;Company Germany;FC98280;478121FC;EXTENSION;0,50;200000,000;EUR;1,000000;9,440000;9,440000;10,140000;10,140000;18876,000000;9438,000000;18876,000000;9438,000000;20280,000000;10140,000000;20280,000000;10140,000000;0,026200;NUT;20230101;;;;;
2918;01/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;GER;Company Germany;FC98380;6S8121FC;EXTENSION;0,50;400000,000;EUR;1,000000;16,180000;16,180000;18,120000;18,120000;64720,000000;32360,000000;64720,000000;32360,000000;72500,000000;36250,000000;72500,000000;36250,000000;0,026500;NUT;20230101;;;;A07;Body
2919;01/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;FC98280;021120FC;EXTENSION;0,50;400000,000;EUR;1,000000;23,230000;23,230000;27,610000;27,610000;92920,000000;46460,000000;92920,000000;46460,000000;110424,000000;55212,000000;110424,000000;55212,000000;0,080000;BOLTS;20230101;;;;A07;Body
2920;01/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;FC98380;1BY120FC;EXTENSION;0,50;400000,000;EUR;1,000000;25,190000;25,190000;30,180000;30,180000;100760,000000;50380,000000;100760,000000;50380,000000;120708,000000;60354,000000;120708,000000;60354,000000;0,082770;BOLTS;20230101;;;;A07;Body
2921;01/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM8 888;0B1080BM;EXTENSION;0,50;3675000,000;EUR;1,000000;21,970000;21,970000;37,310000;37,310000;807397,500000;403698,750000;807397,500000;403698,750000;1371142,500000;685571,250000;1371142,500000;685571,250000;0,023000;BOLTS;0;;;;;
2922;01/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM8 888;0B1080BM;EXTENSION;0,50;825000,000;EUR;1,000000;7,000000;7,000000;16,000000;16,000000;57750,000000;28875,000000;57750,000000;28875,000000;132000,000000;66000,000000;132000,000000;66000,000000;0,023000;BOLTS;0;;;;;
2923;03/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM5 AA9;0B1070BM;NEW;1,00;3000000,000;EUR;1,000000;4,890000;4,890000;6,300000;6,300000;146700,000000;146700,000000;146700,000000;146700,000000;189000,000000;189000,000000;189000,000000;189000,000000;0,014500;BOLTS;0;;;;;
2924;03/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE46950;749242RE;REORDER;0,50;40000,000;EUR;1,000000;51,000000;51,000000;84,920000;84,920000;20400,000000;10200,000000;20400,000000;10200,000000;33968,000000;16984,000000;33968,000000;16984,000000;0,095000;NUT;0;;;;;
2925;03/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46952;0B2120RE;REORDER;0,50;32000,000;EUR;1,000000;63,470000;63,470000;140,850000;140,850000;20310,400000;10155,200000;20310,400000;10155,200000;45072,000000;22536,000000;45072,000000;22536,000000;0,242000;BOLTS;0;;;;;
2926;03/02/2022;379;IVO  GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;GER;Company Germany;IV58080;472181IV;NEW;1,00;30000,000;EUR;1,000000;48,310000;48,310000;82,000000;82,000000;14493,000000;14493,000000;14493,000000;14493,000000;24600,000000;24600,000000;24600,000000;24600,000000;0,030800;NUT;0;;;;;
2927;04/02/2022;424;BOGR GROUP;GKA1;Group Sales GKA1;GKA1;Sales Customer GKA1;USA;Company USA;BOW5051;0644ADBO;NEW;1,00;65000,000;USD;1,140000;4,030000;3,540000;12,300000;10,790000;2619,500000;2619,500000;2297,810000;2297,810000;7995,000000;7995,000000;7013,160000;7013,160000;0,004000;BOLTS;0;;;;;
2928;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE40950;6J2141RE;REORDER;0,50;1200,000;EUR;1,000000;65,600000;65,600000;97,110000;97,110000;787,200000;393,600000;787,200000;393,600000;1165,320000;582,660000;1165,320000;582,660000;0,050000;NUT;0;;;;;
2929;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE46950;742222RE;REORDER;0,50;9600,000;EUR;1,000000;45,600000;45,600000;88,610000;88,610000;4377,600000;2188,800000;4377,600000;2188,800000;8506,560000;4253,280000;8506,560000;4253,280000;0,072000;NUT;0;;;;;
2930;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44860;0F2160RE;REORDER;0,50;1100,000;EUR;1,000000;39,820000;39,820000;261,100000;261,100000;438,020000;219,010000;438,020000;219,010000;2872,100000;1436,050000;2872,100000;1436,050000;0,191000;BOLTS;0;;;;;
2931;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46922;0B1080RE;REORDER;0,50;2100,000;EUR;1,000000;7,570000;7,570000;13,110000;13,110000;158,970000;79,480000;158,970000;79,480000;275,310000;137,660000;275,310000;137,660000;0,026630;BOLTS;0;;;;;
2932;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44030;02A100RE;REORDER;0,50;10200,000;EUR;1,000000;10,970000;10,970000;36,280000;36,280000;1118,940000;559,470000;1118,940000;559,470000;3700,560000;1850,280000;3700,560000;1850,280000;0,038560;BOLTS;0;;;;;
2933;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44870;132160RE;REORDER;0,50;100100,000;EUR;1,000000;51,270000;51,270000;75,000000;75,000000;51321,270000;25660,640000;51321,270000;25660,630000;75075,000000;37537,500000;75075,000000;37537,500000;0,202000;BOLTS;0;;;;;
2934;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44865;0F2180RE;REORDER;0,50;100000,000;EUR;1,000000;33,540000;33,540000;54,870000;54,870000;33540,000000;16770,000000;33540,000000;16770,000000;54870,000000;27435,000000;54870,000000;27435,000000;0,180700;BOLTS;0;;;;;
2935;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;RE44524;V001CARE;REORDER;0,50;100200,000;EUR;1,000000;6,000000;6,000000;14,000000;14,000000;6012,000000;3006,000000;6012,000000;3006,000000;14028,000000;7014,000000;14028,000000;7014,000000;0,018700;BOLTS;0;;;;;
2936;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;RE46925;V080CARE;REORDER;0,50;40000,000;EUR;1,000000;5,780000;5,780000;9,300000;9,300000;2312,000000;1156,000000;2312,000000;1156,000000;3720,000000;1860,000000;3720,000000;1860,000000;0,018000;BOLTS;0;;;;;
2937;04/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;RE46912;V080CARE;REORDER;0,50;45000,000;EUR;1,000000;3,150000;3,150000;9,250000;9,250000;1417,500000;708,750000;1417,500000;708,750000;4162,500000;2081,250000;4162,500000;2081,250000;0,007280;BOLTS;0;;;;;
2938;04/02/2022;;;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;18612;V151;REORDER;0,50;56000,000;EUR;1,000000;5,650000;5,650000;14,900000;14,900000;3164,000000;1582,000000;3164,000000;1582,000000;8344,000000;4172,000000;8344,000000;4172,000000;0,018400;BOLTS;0;;;;;
2939;07/02/2022;;;GKC2;Group Sales GKC2;GKC2;Sales Customer GKC2;CHN;CHN;70001;540160;NEW;1,00;304950,000;CNY;7,400000;195,990000;26,480000;255,000000;34,460000;597665,410000;597665,410000;80765,600000;80765,600000;777622,500000;777622,500000;105084,120000;105084,120000;0,088000;AFP-C;20230101;105084,120000;105084,120000;105084,120000;A06;Interiors
2940;08/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;ADT;Company ADT;BM98470;998100BM;NEW;1,00;150000,000;EUR;1,000000;69,170000;69,170000;95,000000;95,000000;103747,500000;103747,500000;103747,500000;103747,500000;142500,000000;142500,000000;142500,000000;142500,000000;0,015000;AFP-C;20220701;76000,000000;160000,000000;160000,000000;A03;Engine
2941;08/02/2022;105;OPMA GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;OPVMB35;0C1060OP;NEW;1,00;1000,000;EUR;1,000000;9,010000;9,010000;19,320000;19,320000;90,150000;90,150000;90,150000;90,150000;193,200000;193,200000;193,200000;193,200000;0,015600;BOLTS;20220101;3200,000000;3200,000000;3200,000000;A07;Body
2942;09/02/2022;027;LE C GROUP;GK19;Group Sales GK19;GKD1;Sales Customer GKD1;USA;Company USA;LEL00AB;MD2216LE;EXTENSION;0,50;102696,000;USD;1,140000;4,580000;4,020000;4,790000;4,200000;4703,480000;2351,740000;4125,860000;2062,930000;4919,140000;2459,570000;4315,030000;2157,520000;0,006160;BOLTS;0;;;;;
2943;10/02/2022;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77072;0C2160RE;NEW;1,00;300000,000;EUR;1,000000;84,640000;84,640000;99,950000;99,950000;253920,000000;253920,000000;253920,000000;253920,000000;299850,000000;299850,000000;299850,000000;299850,000000;0,313000;BOLTS;0;;;;;
2944;10/02/2022;035;IFGR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;IF10001;108120IF;NEW;1,00;10000,000;EUR;1,000000;20,900000;20,900000;60,000000;60,000000;2090,000000;2090,000000;2090,000000;2090,000000;6000,000000;6000,000000;6000,000000;6000,000000;0,059700;BOLTS;0;;;;;
2945;10/02/2022;004;FAIC GROUP;GK67;Group Sales GK67;GK52;Sales Customer GK52;ADT;Company ADT;FC46370;1R1060FC;NEW;1,00;400000,000;EUR;1,000000;4,720000;4,720000;5,980000;5,980000;18871,880000;18871,880000;18871,880000;18871,880000;23920,000000;23920,000000;23920,000000;23920,000000;0,010000;BOLTS;20220401;23920,000000;23920,000000;23920,000000;A03;Engine
2946;11/02/2022;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;10A100PE;REORDER;0,50;2000,000;EUR;1,000000;8,650000;8,650000;30,160000;30,160000;173,000000;86,500000;173,000000;86,500000;603,200000;301,600000;603,200000;301,600000;0,032000;BOLTS;0;;;;;
2947;11/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE46950;742222RE;REORDER;0,50;6000,000;EUR;1,000000;59,170000;59,170000;101,160000;101,160000;3550,200000;1775,100000;3550,200000;1775,100000;6069,600000;3034,800000;6069,600000;3034,800000;0,080000;NUT;0;;;;;
2948;14/02/2022;;;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;18612;V151;REORDER;0,50;60000,000;EUR;1,000000;5,650000;5,650000;14,900000;14,900000;3390,000000;1695,000000;3390,000000;1695,000000;8940,000000;4470,000000;8940,000000;4470,000000;0,018400;BOLTS;0;;;;;
2949;15/02/2022;037;BOH  GROUP;GK96;Group Sales GK96;GK52;Sales Customer GK52;ADT;Company ADT;BOF0076;021050BO;NEW;1,00;20000,000;EUR;1,000000;1,780000;1,780000;4,250000;4,250000;355,870000;355,870000;355,870000;355,870000;850,000000;850,000000;850,000000;850,000000;0,002670;BOLTS;20220401;;;;A02;Mobile
2950;18/02/2022;426;PUH  GROUP;GK52;Group Sales GK52;GK52;Sales Customer GK52;ADT;Company ADT;PU50501;109160PU;NEW;1,00;1200000,000;EUR;1,000000;81,000000;81,000000;105,410000;105,410000;972000,000000;972000,000000;972000,000000;972000,000000;1264920,000000;1264920,000000;1264920,000000;1264920,000000;0,062000;AFP-C;20221001;1264920,000000;1226972,000000;1190163,000000;A05;Mobile
2951;21/02/2022;065;COME GROUP;GK93;Group Sales GK93;GK93;Sales Customer GK93;ESX;ESX;COBLA68;NZACO;NEW;1,00;900000,000;EUR;1,000000;11,420000;11,420000;17,800000;17,800000;102780,000000;102780,000000;102780,000000;102780,000000;160200,000000;160200,000000;160200,000000;160200,000000;0,027000;AFP-C;20220701;;;;A03;Engine
2952;21/02/2022;065;COME GROUP;GK93;Group Sales GK93;GK93;Sales Customer GK93;ESX;ESX;COBLA25;NZACO;NEW;1,00;900000,000;EUR;1,000000;11,560000;11,560000;17,900000;17,900000;104040,000000;104040,000000;104040,000000;104040,000000;161100,000000;161100,000000;161100,000000;161100,000000;0,027500;AFP-C;20220701;;;;A03;Engine
2953;21/02/2022;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;ESX;ESX;FOLOCIN;NZAFO;NEW;1,00;2200000,000;EUR;1,000000;6,030000;6,030000;7,540000;7,540000;132660,000000;132660,000000;132660,000000;132660,000000;165880,000000;165880,000000;165880,000000;165880,000000;0,014200;AFP-HP;20220701;10782,200000;82940,000000;165880,000000;A06;Interiors
2954;21/02/2022;070;FAL  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;FA50059;074.01FA;EXTENSION;0,50;13500,000;EUR;1,000000;1,050000;1,050000;2,270000;2,270000;141,750000;70,880000;141,750000;70,880000;307,120000;153,560000;307,120000;153,560000;0,004200;SPECIAL SCREW;0;;;;;
2955;21/02/2022;070;FAL  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;FA20883;A690FA;EXTENSION;0,50;4000,000;EUR;1,000000;2,820000;2,820000;3,300000;3,300000;112,800000;56,400000;112,800000;56,400000;131,840000;65,920000;131,840000;65,920000;0,003330;SPECIAL SCREW;0;;;;;
2956;22/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46945;0B1080RE;REORDER;0,50;20000,000;EUR;1,000000;6,000000;6,000000;12,250000;12,250000;1200,000000;600,000000;1200,000000;600,000000;2450,000000;1225,000000;2450,000000;1225,000000;0,024000;BOLTS;0;;;;;
2957;22/02/2022;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE00068;0B1050FE;NEW;1,00;50000,000;EUR;1,000000;13,460000;13,460000;44,300000;44,300000;6732,450000;6732,450000;6732,450000;6732,450000;22151,000000;22151,000000;22151,000000;22151,000000;0,005900;BOLTS;20220701;;;;A08;Interiors
2958;23/02/2022;025;BEEL GROUP;GK19;Group Sales GK19;GK27;Sales Customer GK27;GER;Company Germany;BE13024;478121BE;EXTENSION;0,50;500000,000;EUR;1,000000;10,000000;10,000000;11,800000;11,800000;50000,000000;25000,000000;50000,000000;25000,000000;59000,000000;29500,000000;59000,000000;29500,000000;0,022000;NUT;20220401;;;;;
2959;23/02/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44865;0F2180RE;REORDER;0,50;140000,000;EUR;1,000000;33,540000;33,540000;58,800000;58,800000;46956,000000;23478,000000;46956,000000;23478,000000;82320,000000;41160,000000;82320,000000;41160,000000;0,180700;BOLTS;0;;;;;
2960;23/02/2022;129;REAG GROUP;GK52;Group Sales GK52;GK52;Sales Customer GK52;ADT;Company ADT;REO0014;541100RE;NEW;1,00;6000,000;EUR;1,000000;9,860000;9,860000;20,000000;20,000000;591,480000;591,480000;591,480000;591,480000;1200,000000;1200,000000;1200,000000;1200,000000;0,018000;BOLTS;20220101;;;;A07;Body
2961;23/02/2022;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE00073;3Y0330FE;NEW;1,00;1500,000;EUR;1,000000;20,300000;20,300000;40,800000;40,800000;304,430000;304,430000;304,430000;304,430000;612,000000;612,000000;612,000000;612,000000;0,005000;BOLTS;20220401;612,000000;612,000000;612,000000;A03;Engine
2962;28/02/2022;001;WIRT GROUP;GKA3;Group Sales GKA3;GKA3;Sales Customer GKA3;CHN;CHN;VO13029;478121VO;EXTENSION;0,50;40000,000;CNY;7,400000;93,800000;12,680000;135,000000;18,240000;37520,000000;18760,000000;5070,270000;2535,140000;54000,000000;27000,000000;7297,300000;3648,650000;0,020400;NUT;20220401;7297,300000;7297,300000;7297,300000;A01;Mobile
2963;28/02/2022;062;MA + GROUP;GK19;Group Sales GK19;GKE0;Sales Customer GKE0;CHN;CHN;MA14502;6HK500MA;EXTENSION;0,50;2720000,000;CNY;7,400000;17,500000;2,360000;23,900000;3,230000;476000,000000;238000,000000;64324,320000;32162,160000;650080,000000;325040,000000;87848,650000;43924,320000;0,004430;SPECIAL SCREW;20220401;87202,700000;87202,700000;;A04;Hybrid
2964;28/02/2022;001;WIRT GROUP;GK20;Group Sales GK20;GK20;Sales Customer GK20;AGR;Company SPA;VON 901;0BY141VO;NEW;1,00;360000,000;EUR;1,000000;52,130000;52,130000;59,150000;59,150000;187668,000000;187668,000000;187668,000000;187668,000000;212940,000000;212940,000000;212940,000000;212940,000000;0,201000;BOLTS;0;;;;;
2965;28/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM7 925;7P2140BM;NEW;1,00;128000,000;EUR;1,000000;36,880000;36,880000;46,000000;46,000000;47206,400000;47206,400000;47206,400000;47206,400000;58880,000000;58880,000000;58880,000000;58880,000000;0,109000;BOLTS;0;;;;;
2966;28/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM7 190;102140BM;NEW;1,00;256000,000;EUR;1,000000;38,730000;38,730000;46,550000;46,550000;99148,800000;99148,800000;99148,800000;99148,800000;119168,000000;119168,000000;119168,000000;119168,000000;0,127000;BOLTS;0;;;;;
2967;28/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM7 969;102142BM;NEW;1,00;64000,000;EUR;1,000000;134,060000;134,060000;167,000000;167,000000;85798,400000;85798,400000;85798,400000;85798,400000;106880,000000;106880,000000;106880,000000;106880,000000;0,345000;BOLTS;0;;;;;
2968;28/02/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM7 970;7P1120BM;NEW;1,00;256000,000;EUR;1,000000;19,140000;19,140000;23,800000;23,800000;48998,400000;48998,400000;48998,400000;48998,400000;60928,000000;60928,000000;60928,000000;60928,000000;0,056700;BOLTS;0;;;;;
2969;01/03/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44860;0F2160RE;REORDER;0,50;1700,000;EUR;1,000000;39,820000;39,820000;261,100000;261,100000;676,940000;338,470000;676,940000;338,470000;4438,700000;2219,350000;4438,700000;2219,350000;0,191000;BOLTS;0;;;;;
2970;01/03/2022;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46975;0C2120RE;REORDER;0,50;4000,000;EUR;1,000000;24,970000;24,970000;62,760000;62,760000;998,800000;499,400000;998,800000;499,400000;2510,400000;1255,200000;2510,400000;1255,200000;0,091000;BOLTS;0;;;;;
2971;01/03/2022;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;GER;Company Germany;FO44990;471101FO;EXTENSION;0,50;88240,000;EUR;1,000000;3,700000;3,700000;5,280000;5,280000;3264,880000;1632,440000;3264,880000;1632,440000;4659,070000;2329,540000;4659,070000;2329,540000;0,013200;NUT;20220101;2000,000000;2500,000000;4000,000000;A06;Interiors
2972;01/03/2022;043;NEEE GROUP;GK90;Group Sales GK90;GK90;Sales Customer GK90;FRA;Company France;NE26104;067,01NE;EXTENSION;0,50;312278,000;EUR;1,000000;2,460000;2,460000;2,980000;2,980000;7666,420000;3833,210000;7666,420000;3833,210000;9318,380000;4659,190000;9318,380000;4659,190000;0,005650;SPECIAL SCREW;20220101;7000,000000;7500,000000;8000,000000;A05;Mobile
2973;01/03/2022;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;FRA;Company France;FO11824;A76,05FO;EXTENSION;0,50;1326711,000;EUR;1,000000;1,430000;1,430000;1,950000;1,950000;18971,970000;9485,980000;18971,970000;9485,980000;25804,530000;12902,260000;25804,530000;12902,260000;0,002400;SPECIAL SCREW;20220101;12000,000000;23000,000000;25000,000000;A06;Interiors
2974;01/03/2022;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;FRA;Company France;FO1184X;A76,05FO;EXTENSION;0,50;266580,000;EUR;1,000000;1,430000;1,430000;1,820000;1,820000;3812,090000;1906,050000;3812,090000;1906,050000;4859,750000;2429,880000;4859,750000;2429,880000;0,002400;SPECIAL SCREW;20220101;1000,000000;2000,000000;3000,000000;A06;Interiors
2975;01/03/2022;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;FRA;Company France;FO18156;A75,01FO;EXTENSION;0,50;600000,000;EUR;1,000000;3,060000;3,060000;7,000000;7,000000;18360,000000;9180,000000;18360,000000;9180,000000;42000,000000;21000,000000;42000,000000;21000,000000;0,006300;SPECIAL SCREW;20220101;40000,000000;42000,000000;42000,000000;A06;Interiors
2976;01/03/2022;003;OPTACOL GROUP;GK17;Group Sales GK17;GK79;Sales Customer GK79;FRA;Company France;PS79004;V070PS;EXTENSION;0,50;300000,000;EUR;1,000000;3,310000;3,310000;3,580000;3,580000;9924,000000;4962,000000;9924,000000;4962,000000;10752,000000;5376,000000;10752,000000;5376,000000;0,008280;BOLTS;20220101;4887,270000;10752,000000;10752,000000;;
2977;01/03/2022;003;OPTACOL GROUP;GK17;Group Sales GK17;GK79;Sales Customer GK79;FRA;Company France;PS96080;V041PS;EXTENSION;0,50;300000,000;EUR;1,000000;2,210000;2,210000;3,530000;3,530000;6615,000000;3307,500000;6615,000000;3307,500000;10599,000000;5299,500000;10599,000000;5299,500000;0,005700;BOLTS;20220101;4817,730000;10599,000000;10599,000000;;
2978;01/03/2022;003;OPTACOL GROUP;GK17;Group Sales GK17;GK79;Sales Customer GK79;FRA;Company France;PS96080;V041PS;EXTENSION;0,50;300000,000;EUR;1,000000;2,210000;2,210000;3,650000;3,650000;6615,000000;3307,500000;6615,000000;3307,500000;10962,000000;5481,000000;10962,000000;5481,000000;0,005700;BOLTS;20220101;4982,730000;10962,000000;10962,000000;;
2979;01/03/2022;058;JOON GROUP;GKD1;Group Sales GKD1;GKD1;Sales Customer GKD1;USA;Company USA;JO002EL;13Y100JO;EXTENSION;0,50;80000,000;USD;1,140000;9,820000;8,610000;21,190000;18,590000;7856,000000;3928,000000;6891,230000;3445,610000;16952,000000;8476,000000;14870,180000;7435,090000;0,027090;BOLTS;0;;;;;
2980;02/03/2022;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE01324;1W1060FE;NEW;1,00;150000,000;EUR;1,000000;5,850000;5,850000;8,300000;8,300000;8779,860000;8779,860000;8779,860000;8779,860000;12450,000000;12450,000000;12450,000000;12450,000000;0,004840;BOLTS;20220610;;;;A07;Body
2981;02/03/2022;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM7 918;101080BM;NEW;1,00;380000,000;EUR;1,000000;7,710000;7,710000;10,520000;10,520000;29298,000000;29298,000000;29298,000000;29298,000000;39976,000000;39976,000000;39976,000000;39976,000000;0,016420;BOLTS;0;;;;;
2982;02/03/2022;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;FRA;Company France;FO22816;A77,14FO;EXTENSION;0,50;4228460,000;EUR;1,000000;0,690000;0,690000;1,330000;1,330000;29176,370000;14588,190000;29176,370000;14588,190000;56449,940000;28224,970000;56449,940000;28224,970000;0,000910;SPECIAL SCREW;20220101;26000,000000;43000,000000;56000,000000;A06;Interiors
2983;03/03/2022;061;PRA  GROUP;GKA8;Group Sales GKA8;GKA8;Sales Customer GKA8;ADT;Company ADT;PR53477;2G1080PR;NEW;1,00;393852,000;EUR;1,000000;6,510000;6,510000;7,350000;7,350000;25627,950000;25627,950000;25627,950000;25627,950000;28948,120000;28948,120000;28948,120000;28948,120000;0,013000;AFP-C;20220314;8213,770000;29973,590000;37161,890000;A07;Body
2984;03/03/2022;061;PRA  GROUP;GKA8;Group Sales GKA8;GKA8;Sales Customer GKA8;ADT;Company ADT;PR13580;501080PR;NEW;1,00;492315,000;EUR;1,000000;4,240000;4,240000;5,800000;5,800000;20854,460000;20854,460000;20854,460000;20854,460000;28554,270000;28554,270000;28554,270000;28554,270000;0,008730;NUT;20220314;8102,020000;29565,790000;36656,290000;A07;Body
2985;03/03/2022;061;PRA  GROUP;GKA8;Group Sales GKA8;GKA8;Sales Customer GKA8;ADT;Company ADT;PR13580;511080PR;NEW;1,00;492315,000;EUR;1,000000;4,350000;4,350000;5,920000;5,920000;21430,470000;21430,470000;21430,470000;21430,470000;29145,050000;29145,050000;29145,050000;29145,050000;0,008800;AFP-C;20220314;8269,650000;30177,500000;37414,700000;A07;Body
2986;03/03/2022;061;PRA  GROUP;GKA8;Group Sales GKA8;GKA8;Sales Customer GKA8;ADT;Company ADT;PR13580;5A1081PR;NEW;1,00;393852,000;EUR;1,000000;5,610000;5,610000;7,280000;7,280000;22083,280000;22083,280000;22083,280000;22083,280000;28668,490000;28668,490000;28668,490000;28668,490000;0,013000;AFP-C;20220314;8134,430000;29684,050000;36802,920000;A07;Body
2987;03/03/2022;061;PRA  GROUP;GKA8;Group Sales GKA8;GKA8;Sales Customer GKA8;ADT;Company ADT;PR13580;502120PR;NEW;1,00;393852,000;EUR;1,000000;16,240000;16,240000;22,800000;22,800000;63973,380000;63973,380000;63973,380000;63973,380000;89798,260000;89798,260000;89798,260000;89798,260000;0,047000;AFP-C;20220314;25479,460000;92979,310000;115277,710000;A07;Body
